country,continent,lifeExp,year
Brazil,Americas,61.489,1977
Brazil,Americas,63.336,1982
Brazil,Americas,65.205,1987
Brazil,Americas,67.057,1992
Brazil,Americas,69.388,1997
Brazil,Americas,71.006,2002
Brazil,Americas,72.39,2007
Bulgaria,Europe,59.6,1952
Bulgaria,Europe,66.61,1957
Bulgaria,Europe,69.51,1962
Bulgaria,Europe,70.42,1967
Bulgaria,Europe,70.9,1972
Bulgaria,Europe,70.81,1977
Bulgaria,Europe,71.08,1982
Bulgaria,Europe,71.34,1987
Bulgaria,Europe,71.19,1992
Bulgaria,Europe,70.32,1997
Bulgaria,Europe,72.14,2002
Bulgaria,Europe,73.005,2007
Burkina Faso,Africa,31.975,1952
Burkina Faso,Africa,34.906,1957
Burkina Faso,Africa,37.814,1962
Burkina Faso,Africa,40.697,1967
Burkina Faso,Africa,43.591,1972
Burkina Faso,Africa,46.137,1977
Burkina Faso,Africa,48.122,1982
Burkina Faso,Africa,49.557,1987
Burkina Faso,Africa,50.26,1992
Burkina Faso,Africa,50.324,1997
Burkina Faso,Africa,50.65,2002
Burkina Faso,Africa,52.295,2007
Burundi,Africa,39.031,1952
Burundi,Africa,40.533,1957
Burundi,Africa,42.045,1962
Burundi,Africa,43.548,1967
Burundi,Africa,44.057,1972
Burundi,Africa,45.91,1977
Burundi,Africa,47.471,1982
Burundi,Africa,48.211,1987
Burundi,Africa,44.736,1992
Burundi,Africa,45.326,1997
Burundi,Africa,47.36,2002
Burundi,Africa,49.58,2007
Cambodia,Asia,39.417,1952
Cambodia,Asia,41.366,1957
Cambodia,Asia,43.415,1962
Cambodia,Asia,45.415,1967
Cambodia,Asia,40.317,1972
Cambodia,Asia,31.22,1977
Cambodia,Asia,50.957,1982
Cambodia,Asia,53.914,1987
Cambodia,Asia,55.803,1992
Cambodia,Asia,56.534,1997
Cambodia,Asia,56.752,2002
Cambodia,Asia,59.723,2007
Cameroon,Africa,38.523,1952
Cameroon,Africa,40.428,1957
Cameroon,Africa,42.643,1962
Cameroon,Africa,44.799,1967
Cameroon,Africa,47.049,1972
Cameroon,Africa,49.355,1977
Cameroon,Africa,52.961,1982
Cameroon,Africa,54.985,1987
Cameroon,Africa,54.314,1992
Cameroon,Africa,52.199,1997
Cameroon,Africa,49.856,2002
Cameroon,Africa,50.43,2007
Canada,Americas,68.75,1952
Canada,Americas,69.96,1957
Canada,Americas,71.3,1962
Canada,Americas,72.13,1967
Canada,Americas,72.88,1972
Canada,Americas,74.21,1977
Canada,Americas,75.76,1982
Canada,Americas,76.86,1987
Canada,Americas,77.95,1992
Canada,Americas,78.61,1997
Canada,Americas,79.77,2002
Canada,Americas,80.653,2007
Central African Republic,Africa,35.463,1952
Central African Republic,Africa,37.464,1957
Central African Republic,Africa,39.475,1962
Central African Republic,Africa,41.478,1967
Central African Republic,Africa,43.457,1972
Central African Republic,Africa,46.775,1977
Central African Republic,Africa,48.295,1982
Central African Republic,Africa,50.485,1987
Central African Republic,Africa,49.396,1992
Central African Republic,Africa,46.066,1997
Central African Republic,Africa,43.308,2002
Central African Republic,Africa,44.741,2007
Chad,Africa,38.092,1952
Chad,Africa,39.881,1957
Chad,Africa,41.716,1962
Chad,Africa,43.601,1967
Chad,Africa,45.569,1972
Chad,Africa,47.383,1977
Chad,Africa,49.517,1982
Chad,Africa,51.051,1987
Chad,Africa,51.724,1992
Chad,Africa,51.573,1997
Chad,Africa,50.525,2002
Chad,Africa,50.651,2007
Chile,Americas,54.745,1952
Chile,Americas,56.074,1957
Chile,Americas,57.924,1962
Chile,Americas,60.523,1967
Chile,Americas,63.441,1972
Chile,Americas,67.052,1977
Chile,Americas,70.565,1982
Chile,Americas,72.492,1987
Chile,Americas,74.126,1992
Chile,Americas,75.816,1997
Chile,Americas,77.86,2002
Chile,Americas,78.553,2007
China,Asia,44,1952
China,Asia,50.54896,1957
China,Asia,44.50136,1962
China,Asia,58.38112,1967
China,Asia,63.11888,1972
China,Asia,63.96736,1977
China,Asia,65.525,1982
China,Asia,67.274,1987
China,Asia,68.69,1992
China,Asia,70.426,1997
China,Asia,72.028,2002
China,Asia,72.961,2007
Colombia,Americas,50.643,1952
Colombia,Americas,55.118,1957
Colombia,Americas,57.863,1962
Colombia,Americas,59.963,1967
Colombia,Americas,61.623,1972
Colombia,Americas,63.837,1977
Colombia,Americas,66.653,1982
Colombia,Americas,67.768,1987
Colombia,Americas,68.421,1992
Colombia,Americas,70.313,1997
Colombia,Americas,71.682,2002
Colombia,Americas,72.889,2007
Comoros,Africa,40.715,1952
Comoros,Africa,42.46,1957
Comoros,Africa,44.467,1962
Comoros,Africa,46.472,1967
Comoros,Africa,48.944,1972
Comoros,Africa,50.939,1977
Comoros,Africa,52.933,1982
Comoros,Africa,54.926,1987
Comoros,Africa,57.939,1992
Comoros,Africa,60.66,1997
Comoros,Africa,62.974,2002
Comoros,Africa,65.152,2007
"Congo, Dem. Rep.",Africa,39.143,1952
"Congo, Dem. Rep.",Africa,40.652,1957
"Congo, Dem. Rep.",Africa,42.122,1962
"Congo, Dem. Rep.",Africa,44.056,1967
"Congo, Dem. Rep.",Africa,45.989,1972
"Congo, Dem. Rep.",Africa,47.804,1977
"Congo, Dem. Rep.",Africa,47.784,1982
"Congo, Dem. Rep.",Africa,47.412,1987
"Congo, Dem. Rep.",Africa,45.548,1992
"Congo, Dem. Rep.",Africa,42.587,1997
"Congo, Dem. Rep.",Africa,44.966,2002
"Congo, Dem. Rep.",Africa,46.462,2007
"Congo, Rep.",Africa,42.111,1952
"Congo, Rep.",Africa,45.053,1957
"Congo, Rep.",Africa,48.435,1962
"Congo, Rep.",Africa,52.04,1967
"Congo, Rep.",Africa,54.907,1972
"Congo, Rep.",Africa,55.625,1977
"Congo, Rep.",Africa,56.695,1982
"Congo, Rep.",Africa,57.47,1987
"Congo, Rep.",Africa,56.433,1992
"Congo, Rep.",Africa,52.962,1997
"Congo, Rep.",Africa,52.97,2002
"Congo, Rep.",Africa,55.322,2007
Costa Rica,Americas,57.206,1952
Costa Rica,Americas,60.026,1957
Costa Rica,Americas,62.842,1962
Costa Rica,Americas,65.424,1967
Costa Rica,Americas,67.849,1972
Costa Rica,Americas,70.75,1977
Costa Rica,Americas,73.45,1982
Costa Rica,Americas,74.752,1987
Costa Rica,Americas,75.713,1992
Costa Rica,Americas,77.26,1997
Costa Rica,Americas,78.123,2002
Costa Rica,Americas,78.782,2007
Cote d'Ivoire,Africa,40.477,1952
Cote d'Ivoire,Africa,42.469,1957
Cote d'Ivoire,Africa,44.93,1962
Cote d'Ivoire,Africa,47.35,1967
Cote d'Ivoire,Africa,49.801,1972
Cote d'Ivoire,Africa,52.374,1977
Cote d'Ivoire,Africa,53.983,1982
Cote d'Ivoire,Africa,54.655,1987
Cote d'Ivoire,Africa,52.044,1992
Cote d'Ivoire,Africa,47.991,1997
Cote d'Ivoire,Africa,46.832,2002
Cote d'Ivoire,Africa,48.328,2007
Croatia,Europe,61.21,1952
Croatia,Europe,64.77,1957
Croatia,Europe,67.13,1962
Croatia,Europe,68.5,1967
Croatia,Europe,69.61,1972
Croatia,Europe,70.64,1977
Croatia,Europe,70.46,1982
Croatia,Europe,71.52,1987
Croatia,Europe,72.527,1992
Croatia,Europe,73.68,1997
Croatia,Europe,74.876,2002
Croatia,Europe,75.748,2007
Cuba,Americas,59.421,1952
Cuba,Americas,62.325,1957
Cuba,Americas,65.246,1962
Cuba,Americas,68.29,1967
Cuba,Americas,70.723,1972
Cuba,Americas,72.649,1977
Cuba,Americas,73.717,1982
Cuba,Americas,74.174,1987
Cuba,Americas,74.414,1992
Cuba,Americas,76.151,1997
Cuba,Americas,77.158,2002
Cuba,Americas,78.273,2007
Czech Republic,Europe,66.87,1952
Czech Republic,Europe,69.03,1957
Czech Republic,Europe,69.9,1962
Czech Republic,Europe,70.38,1967
Czech Republic,Europe,70.29,1972
Czech Republic,Europe,70.71,1977
Czech Republic,Europe,70.96,1982
Czech Republic,Europe,71.58,1987
Czech Republic,Europe,72.4,1992
Czech Republic,Europe,74.01,1997
Czech Republic,Europe,75.51,2002
Czech Republic,Europe,76.486,2007
Denmark,Europe,70.78,1952
Denmark,Europe,71.81,1957
Denmark,Europe,72.35,1962
Denmark,Europe,72.96,1967
Denmark,Europe,73.47,1972
Denmark,Europe,74.69,1977
Denmark,Europe,74.63,1982
Denmark,Europe,74.8,1987
Denmark,Europe,75.33,1992
Denmark,Europe,76.11,1997
Denmark,Europe,77.18,2002
Denmark,Europe,78.332,2007
Djibouti,Africa,34.812,1952
Djibouti,Africa,37.328,1957
Djibouti,Africa,39.693,1962
Djibouti,Africa,42.074,1967
Djibouti,Africa,44.366,1972
Djibouti,Africa,46.519,1977
Djibouti,Africa,48.812,1982
Djibouti,Africa,50.04,1987
Djibouti,Africa,51.604,1992
Djibouti,Africa,53.157,1997
Djibouti,Africa,53.373,2002
Djibouti,Africa,54.791,2007
Dominican Republic,Americas,45.928,1952
Dominican Republic,Americas,49.828,1957
Dominican Republic,Americas,53.459,1962
Dominican Republic,Americas,56.751,1967
Dominican Republic,Americas,59.631,1972
Dominican Republic,Americas,61.788,1977
Dominican Republic,Americas,63.727,1982
Dominican Republic,Americas,66.046,1987
Dominican Republic,Americas,68.457,1992
Dominican Republic,Americas,69.957,1997
Dominican Republic,Americas,70.847,2002
Dominican Republic,Americas,72.235,2007
Ecuador,Americas,48.357,1952
Ecuador,Americas,51.356,1957
Ecuador,Americas,54.64,1962
Ecuador,Americas,56.678,1967
Ecuador,Americas,58.796,1972
Ecuador,Americas,61.31,1977
Ecuador,Americas,64.342,1982
Ecuador,Americas,67.231,1987
Ecuador,Americas,69.613,1992
Ecuador,Americas,72.312,1997
Ecuador,Americas,74.173,2002
Ecuador,Americas,74.994,2007
Egypt,Africa,41.893,1952
Egypt,Africa,44.444,1957
Egypt,Africa,46.992,1962
Egypt,Africa,49.293,1967
Egypt,Africa,51.137,1972
Egypt,Africa,53.319,1977
Egypt,Africa,56.006,1982
Egypt,Africa,59.797,1987
Egypt,Africa,63.674,1992
Egypt,Africa,67.217,1997
Egypt,Africa,69.806,2002
Egypt,Africa,71.338,2007
El Salvador,Americas,45.262,1952
El Salvador,Americas,48.57,1957
El Salvador,Americas,52.307,1962
El Salvador,Americas,55.855,1967
El Salvador,Americas,58.207,1972
El Salvador,Americas,56.696,1977
El Salvador,Americas,56.604,1982
El Salvador,Americas,63.154,1987
El Salvador,Americas,66.798,1992
El Salvador,Americas,69.535,1997
El Salvador,Americas,70.734,2002
El Salvador,Americas,71.878,2007
Equatorial Guinea,Africa,34.482,1952
Equatorial Guinea,Africa,35.983,1957
Equatorial Guinea,Africa,37.485,1962
Equatorial Guinea,Africa,38.987,1967
Equatorial Guinea,Africa,40.516,1972
Equatorial Guinea,Africa,42.024,1977
Equatorial Guinea,Africa,43.662,1982
Equatorial Guinea,Africa,45.664,1987
Equatorial Guinea,Africa,47.545,1992
Equatorial Guinea,Africa,48.245,1997
Equatorial Guinea,Africa,49.348,2002
Equatorial Guinea,Africa,51.579,2007
Eritrea,Africa,35.928,1952
Eritrea,Africa,38.047,1957
Eritrea,Africa,40.158,1962
Eritrea,Africa,42.189,1967
Eritrea,Africa,44.142,1972
Eritrea,Africa,44.535,1977
Eritrea,Africa,43.89,1982
Eritrea,Africa,46.453,1987
Eritrea,Africa,49.991,1992
Eritrea,Africa,53.378,1997
Eritrea,Africa,55.24,2002
Eritrea,Africa,58.04,2007
Ethiopia,Africa,34.078,1952
Ethiopia,Africa,36.667,1957
Ethiopia,Africa,40.059,1962
Ethiopia,Africa,42.115,1967
Ethiopia,Africa,43.515,1972
Ethiopia,Africa,44.51,1977
Ethiopia,Africa,44.916,1982
Ethiopia,Africa,46.684,1987
Ethiopia,Africa,48.091,1992
Ethiopia,Africa,49.402,1997
Ethiopia,Africa,50.725,2002
Ethiopia,Africa,52.947,2007
Finland,Europe,66.55,1952
Finland,Europe,67.49,1957
Finland,Europe,68.75,1962
Finland,Europe,69.83,1967
Finland,Europe,70.87,1972
Finland,Europe,72.52,1977
Finland,Europe,74.55,1982
Finland,Europe,74.83,1987
Finland,Europe,75.7,1992
Finland,Europe,77.13,1997
Finland,Europe,78.37,2002
Finland,Europe,79.313,2007
France,Europe,67.41,1952
France,Europe,68.93,1957
France,Europe,70.51,1962
France,Europe,71.55,1967
France,Europe,72.38,1972
France,Europe,73.83,1977
France,Europe,74.89,1982
France,Europe,76.34,1987
France,Europe,77.46,1992
France,Europe,78.64,1997
France,Europe,79.59,2002
France,Europe,80.657,2007
Gabon,Africa,37.003,1952
Gabon,Africa,38.999,1957
Gabon,Africa,40.489,1962
Gabon,Africa,44.598,1967
Gabon,Africa,48.69,1972
Gabon,Africa,52.79,1977
Gabon,Africa,56.564,1982
Gabon,Africa,60.19,1987
Gabon,Africa,61.366,1992
Gabon,Africa,60.461,1997
Gabon,Africa,56.761,2002
Gabon,Africa,56.735,2007
Gambia,Africa,30,1952
Gambia,Africa,32.065,1957
Gambia,Africa,33.896,1962
Gambia,Africa,35.857,1967
Gambia,Africa,38.308,1972
Gambia,Africa,41.842,1977
Gambia,Africa,45.58,1982
Gambia,Africa,49.265,1987
Gambia,Africa,52.644,1992
Gambia,Africa,55.861,1997
Gambia,Africa,58.041,2002
Gambia,Africa,59.448,2007
Germany,Europe,67.5,1952
Germany,Europe,69.1,1957
Germany,Europe,70.3,1962
Germany,Europe,70.8,1967
Germany,Europe,71,1972
Germany,Europe,72.5,1977
Germany,Europe,73.8,1982
Germany,Europe,74.847,1987
Germany,Europe,76.07,1992
Germany,Europe,77.34,1997
Germany,Europe,78.67,2002
Germany,Europe,79.406,2007
Ghana,Africa,43.149,1952
Ghana,Africa,44.779,1957
Ghana,Africa,46.452,1962
Ghana,Africa,48.072,1967
Ghana,Africa,49.875,1972
Ghana,Africa,51.756,1977
Ghana,Africa,53.744,1982
Ghana,Africa,55.729,1987
Ghana,Africa,57.501,1992
Ghana,Africa,58.556,1997
Ghana,Africa,58.453,2002
Ghana,Africa,60.022,2007
Greece,Europe,65.86,1952
Greece,Europe,67.86,1957
Greece,Europe,69.51,1962
Greece,Europe,71,1967
Greece,Europe,72.34,1972
Greece,Europe,73.68,1977
Greece,Europe,75.24,1982
Greece,Europe,76.67,1987
Greece,Europe,77.03,1992
Greece,Europe,77.869,1997
Greece,Europe,78.256,2002
Greece,Europe,79.483,2007
Guatemala,Americas,42.023,1952
Guatemala,Americas,44.142,1957
Guatemala,Americas,46.954,1962
Guatemala,Americas,50.016,1967
Guatemala,Americas,53.738,1972
Guatemala,Americas,56.029,1977
Guatemala,Americas,58.137,1982
Guatemala,Americas,60.782,1987
Guatemala,Americas,63.373,1992
Guatemala,Americas,66.322,1997
Guatemala,Americas,68.978,2002
Guatemala,Americas,70.259,2007
Guinea,Africa,33.609,1952
Guinea,Africa,34.558,1957
Guinea,Africa,35.753,1962
Guinea,Africa,37.197,1967
Guinea,Africa,38.842,1972
Guinea,Africa,40.762,1977
Guinea,Africa,42.891,1982
Guinea,Africa,45.552,1987
Guinea,Africa,48.576,1992
Guinea,Africa,51.455,1997
Guinea,Africa,53.676,2002
Guinea,Africa,56.007,2007
Guinea-Bissau,Africa,32.5,1952
Guinea-Bissau,Africa,33.489,1957
Guinea-Bissau,Africa,34.488,1962
Guinea-Bissau,Africa,35.492,1967
Guinea-Bissau,Africa,36.486,1972
Guinea-Bissau,Africa,37.465,1977
Guinea-Bissau,Africa,39.327,1982
Guinea-Bissau,Africa,41.245,1987
Guinea-Bissau,Africa,43.266,1992
Guinea-Bissau,Africa,44.873,1997
Guinea-Bissau,Africa,45.504,2002
Guinea-Bissau,Africa,46.388,2007
Haiti,Americas,37.579,1952
Haiti,Americas,40.696,1957
Haiti,Americas,43.59,1962
Haiti,Americas,46.243,1967
Haiti,Americas,48.042,1972
Haiti,Americas,49.923,1977
Haiti,Americas,51.461,1982
Haiti,Americas,53.636,1987
Haiti,Americas,55.089,1992
Haiti,Americas,56.671,1997
Haiti,Americas,58.137,2002
Haiti,Americas,60.916,2007
Honduras,Americas,41.912,1952
Honduras,Americas,44.665,1957
Honduras,Americas,48.041,1962
Honduras,Americas,50.924,1967
Honduras,Americas,53.884,1972
Honduras,Americas,57.402,1977
Honduras,Americas,60.909,1982
Honduras,Americas,64.492,1987
Honduras,Americas,66.399,1992
Honduras,Americas,67.659,1997
Honduras,Americas,68.565,2002
Honduras,Americas,70.198,2007
"Hong Kong, China",Asia,60.96,1952
"Hong Kong, China",Asia,64.75,1957
"Hong Kong, China",Asia,67.65,1962
"Hong Kong, China",Asia,70,1967
"Hong Kong, China",Asia,72,1972
"Hong Kong, China",Asia,73.6,1977
"Hong Kong, China",Asia,75.45,1982
"Hong Kong, China",Asia,76.2,1987
"Hong Kong, China",Asia,77.601,1992
"Hong Kong, China",Asia,80,1997
"Hong Kong, China",Asia,81.495,2002
"Hong Kong, China",Asia,82.208,2007
Hungary,Europe,64.03,1952
Hungary,Europe,66.41,1957
Hungary,Europe,67.96,1962
Hungary,Europe,69.5,1967
Hungary,Europe,69.76,1972
Hungary,Europe,69.95,1977
Hungary,Europe,69.39,1982
Hungary,Europe,69.58,1987
Hungary,Europe,69.17,1992
Hungary,Europe,71.04,1997
Hungary,Europe,72.59,2002
Hungary,Europe,73.338,2007
Iceland,Europe,72.49,1952
Iceland,Europe,73.47,1957
Iceland,Europe,73.68,1962
Iceland,Europe,73.73,1967
Iceland,Europe,74.46,1972
Iceland,Europe,76.11,1977
Iceland,Europe,76.99,1982
Iceland,Europe,77.23,1987
Iceland,Europe,78.77,1992
Iceland,Europe,78.95,1997
Iceland,Europe,80.5,2002
Iceland,Europe,81.757,2007
India,Asia,37.373,1952
India,Asia,40.249,1957
India,Asia,43.605,1962
India,Asia,47.193,1967
India,Asia,50.651,1972
India,Asia,54.208,1977
India,Asia,56.596,1982
India,Asia,58.553,1987
India,Asia,60.223,1992
India,Asia,61.765,1997
India,Asia,62.879,2002
India,Asia,64.698,2007
Indonesia,Asia,37.468,1952
Indonesia,Asia,39.918,1957
Indonesia,Asia,42.518,1962
Indonesia,Asia,45.964,1967
Indonesia,Asia,49.203,1972
Indonesia,Asia,52.702,1977
Indonesia,Asia,56.159,1982
Indonesia,Asia,60.137,1987
Indonesia,Asia,62.681,1992
Indonesia,Asia,66.041,1997
Indonesia,Asia,68.588,2002
Indonesia,Asia,70.65,2007
Iran,Asia,44.869,1952
Iran,Asia,47.181,1957
Iran,Asia,49.325,1962
Iran,Asia,52.469,1967
Iran,Asia,55.234,1972
Iran,Asia,57.702,1977
Iran,Asia,59.62,1982
Iran,Asia,63.04,1987
Iran,Asia,65.742,1992
Iran,Asia,68.042,1997
Iran,Asia,69.451,2002
Iran,Asia,70.964,2007
Iraq,Asia,45.32,1952
Iraq,Asia,48.437,1957
Iraq,Asia,51.457,1962
Iraq,Asia,54.459,1967
Iraq,Asia,56.95,1972
Iraq,Asia,60.413,1977
Iraq,Asia,62.038,1982
Iraq,Asia,65.044,1987
Iraq,Asia,59.461,1992
Iraq,Asia,58.811,1997
Iraq,Asia,57.046,2002
Iraq,Asia,59.545,2007
Ireland,Europe,66.91,1952
Ireland,Europe,68.9,1957
Ireland,Europe,70.29,1962
Ireland,Europe,71.08,1967
Ireland,Europe,71.28,1972
Ireland,Europe,72.03,1977
Ireland,Europe,73.1,1982
Ireland,Europe,74.36,1987
Ireland,Europe,75.467,1992
Ireland,Europe,76.122,1997
Ireland,Europe,77.783,2002
Ireland,Europe,78.885,2007
Israel,Asia,65.39,1952
Israel,Asia,67.84,1957
Israel,Asia,69.39,1962
Israel,Asia,70.75,1967
Israel,Asia,71.63,1972
Israel,Asia,73.06,1977
Israel,Asia,74.45,1982
Israel,Asia,75.6,1987
Israel,Asia,76.93,1992
Israel,Asia,78.269,1997
Israel,Asia,79.696,2002
Israel,Asia,80.745,2007
Italy,Europe,65.94,1952
Italy,Europe,67.81,1957
Italy,Europe,69.24,1962
Italy,Europe,71.06,1967
Italy,Europe,72.19,1972
Italy,Europe,73.48,1977
Italy,Europe,74.98,1982
Italy,Europe,76.42,1987
Italy,Europe,77.44,1992
Italy,Europe,78.82,1997
Italy,Europe,80.24,2002
Italy,Europe,80.546,2007
Jamaica,Americas,58.53,1952
Jamaica,Americas,62.61,1957
Jamaica,Americas,65.61,1962
Jamaica,Americas,67.51,1967
Jamaica,Americas,69,1972
Jamaica,Americas,70.11,1977
Jamaica,Americas,71.21,1982
Jamaica,Americas,71.77,1987
Jamaica,Americas,71.766,1992
Jamaica,Americas,72.262,1997
Jamaica,Americas,72.047,2002
Jamaica,Americas,72.567,2007
Japan,Asia,63.03,1952
Japan,Asia,65.5,1957
Japan,Asia,68.73,1962
Japan,Asia,71.43,1967
Japan,Asia,73.42,1972
Japan,Asia,75.38,1977
Japan,Asia,77.11,1982
Japan,Asia,78.67,1987
Japan,Asia,79.36,1992
Japan,Asia,80.69,1997
Japan,Asia,82,2002
Japan,Asia,82.603,2007
Jordan,Asia,43.158,1952
Jordan,Asia,45.669,1957
Jordan,Asia,48.126,1962
Jordan,Asia,51.629,1967
Jordan,Asia,56.528,1972
Jordan,Asia,61.134,1977
Jordan,Asia,63.739,1982
Jordan,Asia,65.869,1987
Jordan,Asia,68.015,1992
Jordan,Asia,69.772,1997
Jordan,Asia,71.263,2002
Jordan,Asia,72.535,2007
Kenya,Africa,42.27,1952
Kenya,Africa,44.686,1957
Kenya,Africa,47.949,1962
Kenya,Africa,50.654,1967
Kenya,Africa,53.559,1972
Kenya,Africa,56.155,1977
Kenya,Africa,58.766,1982
Kenya,Africa,59.339,1987
Kenya,Africa,59.285,1992
Kenya,Africa,54.407,1997
Kenya,Africa,50.992,2002
Kenya,Africa,54.11,2007
"Korea, Dem. Rep.",Asia,50.056,1952
"Korea, Dem. Rep.",Asia,54.081,1957
"Korea, Dem. Rep.",Asia,56.656,1962
"Korea, Dem. Rep.",Asia,59.942,1967
"Korea, Dem. Rep.",Asia,63.983,1972
